remote 2.159690 R FIFO 0x45 | 0xe1 | 0x00 | 0x09 | 0xff | 0xee | 0x00 | 0x09 | 0x00 | 0x10 | 0xff | 0xcd | 0x03 | 0xf6 | 0x26 | 0x00 | 0x25
remote 2.199734 R FIFO 0x45 | 0xe1 | 0x00 | 0x09 | 0xff | 0xee | 0x00 | 0x09 | 0x00 | 0x0f | 0xff | 0xed | 0x03 | 0xfc | 0x26 | 0x00 | 0x00
remote 2.239757 R FIFO 0x45 | 0xe1 | 0x00 | 0x09 | 0xff | 0xee | 0x00 | 0x09 | 0x00 | 0x0f | 0xff | 0xe7 | 0x03 | 0xf9 | 0x26 | 0x00 | 0x09
remote 2.279740 R FIFO 0x45 | 0xe1 | 0x00 | 0x09 | 0xff | 0xee | 0x00 | 0x09 | 0x00 | 0x11 | 0xff | 0xde | 0x03 | 0xf7 | 0x26 | 0x00 | 0x12
remote 2.319798 R FIFO 0x45 | 0xe1 | 0x00 | 0x09 | 0xff | 0xee | 0x00 | 0x09 | 0x00 | 0x07 | 0xff | 0xe6 | 0x03 | 0xfb | 0x26 | 0x00 | 0x10
remote 2.359791 R FIFO 0x45 | 0xe1 | 0x00 | 0x09 | 0xff | 0xee | 0x00 | 0x09 | 0x00 | 0x10 | 0xff | 0xed | 0x03 | 0xf5 | 0x26 | 0x00 | 0x06
remote 2.399849 R FIFO 0x45 | 0xe1 | 0x00 | 0x09 | 0xff | 0xee | 0x00 | 0x09 | 0x00 | 0x14 | 0xff | 0xd0 | 0x04 | 0x07 | 0x26 | 0x00 | 0x0c
remote 2.439788 R FIFO 0x45 | 0xe1 | 0x00 | 0x09 | 0xff | 0xee | 0x00 | 0x09 | 0x00 | 0x10 | 0xff | 0xa8 | 0x04 | 0x45 | 0x26 | 0x00 | 0xfa
remote 2.479842 R FIFO 0x45 | 0xe1 | 0x00 | 0x08 | 0xff | 0xed | 0x00 | 0x09 | 0xff | 0xf4 | 0xff | 0xfe | 0x04 | 0x2f | 0x26 | 0x00 | 0xd9
remote 2.519757 R FIFO 0x45 | 0xe1 | 0x00 | 0x08 | 0xff | 0xed | 0x00 | 0x09 | 0xff | 0xcd | 0xff | 0xc6 | 0x04 | 0x15 | 0x26 | 0x00 | 0x52
