remote 4.429442 R FIFO 0x45 | 0xe1 | 0x00 | 0x0b | 0xff | 0xf2 | 0x00 | 0x09 | 0x00 | 0x13 | 0xff | 0xe5 | 0x03 | 0xf9 | 0x27 | 0x00 | 0x00
remote 4.469514 R FIFO 0x45 | 0xe1 | 0x00 | 0x0b | 0xff | 0xf2 | 0x00 | 0x09 | 0x00 | 0x14 | 0xff | 0xe5 | 0x03 | 0xf9 | 0x27 | 0x00 | 0xff
remote 4.509514 R FIFO 0x45 | 0xe1 | 0x00 | 0x0b | 0xff | 0xf2 | 0x00 | 0x09 | 0x00 | 0x13 | 0xff | 0xe6 | 0x03 | 0xf8 | 0x27 | 0x00 | 0x00
remote 4.549568 R FIFO 0x45 | 0xe1 | 0x00 | 0x0b | 0xff | 0xf2 | 0x00 | 0x09 | 0x00 | 0x13 | 0xff | 0xe7 | 0x03 | 0xf7 | 0x27 | 0x00 | 0x00
remote 4.589702 R FIFO 0x45 | 0xe1 | 0x00 | 0x0b | 0xff | 0xf2 | 0x00 | 0x09 | 0x00 | 0x15 | 0xff | 0xe6 | 0x03 | 0xf7 | 0x27 | 0x00 | 0xff
remote 4.629801 R FIFO 0x45 | 0xe1 | 0x00 | 0x0b | 0xff | 0xf2 | 0x00 | 0x09 | 0x00 | 0x13 | 0xff | 0xe6 | 0x03 | 0xf9 | 0x26 | 0x00 | 0x00
remote 4.669628 R FIFO 0x45 | 0xe1 | 0x00 | 0x0b | 0xff | 0xf2 | 0x00 | 0x09 | 0x00 | 0x14 | 0xff | 0xe5 | 0x03 | 0xf7 | 0x26 | 0x00 | 0x02
remote 4.709626 R FIFO 0x45 | 0xe1 | 0x00 | 0x0b | 0xff | 0xf2 | 0x00 | 0x09 | 0x00 | 0x13 | 0xff | 0xe6 | 0x03 | 0xf9 | 0x26 | 0x00 | 0x00
remote 4.749571 R FIFO 0x45 | 0xe1 | 0x00 | 0x0b | 0xff | 0xf2 | 0x00 | 0x09 | 0x00 | 0x13 | 0xff | 0xe7 | 0x03 | 0xf6 | 0x26 | 0x00 | 0x02
remote 4.789595 R FIFO 0x45 | 0xe1 | 0x00 | 0x0b | 0xff | 0xf2 | 0x00 | 0x09 | 0x00 | 0x13 | 0xff | 0xe7 | 0x03 | 0xfa | 0x26 | 0x00 | 0xfe
